Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
AMSWA,"American Software, Inc.",25.69,0,0.0162,"70,310","160,671",854M,95.15,
PDFS,"PDF Solutions, Inc.",22.78,0,0.53%,"58,214","125,245",848.109M,N/A,
TCX,Tucows Inc.,76.8,1,0.0153,"12,023","28,706",819.487M,121.9,
ECOM,ChannelAdvisor Corporation,27.12,0.58,0.0219,"169,592","157,145",809.076M,42.38,
OSPN,OneSpan Inc.,19.48,0.39,0.0204,"452,995","221,651",783.302M,N/A,
CTLP,"Cantaloupe, Inc.",10.77,0.56,5.48%,"547,279","331,489",767.449M,N/A,
RLLMF,Real Matters Inc.,9.26,0,0.00%,10,"1,895",761.615M,21.99,
SLVFF,Silverlake Axis Ltd,0.273,0,0.00%,"5,000",440,730.521M,21,
ZENV,Zenvia Inc.,18.48,1,0.0347,"127,653","533,556",726.127M,N/A,
PKKFF,Peak Fintech Group Inc.,10.79,1,0.1592,"444,891","315,012",723.696M,N/A,
BTBT,"Bit Digital, Inc.",12.97,0,0.0197,29.392M,18.132M,713.231M,16.42,
VERI,"Veritone, Inc.",21.69,0,0.0065,"188,950","394,445",713.048M,N/A,
IMXI,"International Money Express, Inc.",18.14,0,-1.09%,"97,470","172,798",700.079M,17.13,
LVOX,"LiveVox Holding, Inc.",7.23,0,-1.63%,"190,067","348,440",684.163M,N/A,
TCYSF,Tecsys Inc.,44.55,10,27.17%,500,212,646.238M,114.24,
ABST,Absolute Software Corporation,12.5,0,0.56%,"46,739","88,343",618.911M,178.57,
KPLT,"Katapult Holdings, Inc.",6.38,1,13.12%,133.255M,6.449M,617.722M,N/A,
HCKT,"The Hackett Group, Inc.",20.24,0,1.15%,"90,162","110,510",603.409M,32.28,
SEEMF,Seeing Machines Limited,0.155,-0.01,-6.06%,"41,792","154,868",600.721M,N/A,
CISO,Cerberus Cyber Sentinel Corporation,5,0,0.00%,1,565,588.65M,N/A,
ALLT,Allot Ltd.,$16.16,0,0.0241,"117,731","158,146",583.043M,N/A,
DPLS,"DarkPulse, Inc.",0.1179,0,0.0077,18.75M,109.546M,568.284M,N/A,
SFBTF,SB Technology Corp.,27.25,1,5.70%,"1,000",28,557.649M,23.47,
QIWI,QIWI plc,8.78,-0.14,-1.57%,1.121M,"298,884",550.62M,4.01,
SPRT,"Support.com, Inc.",21.95,0,-0.23%,20.836M,15.749M,532.022M,N/A,
SOS,SOS Limited,2.82,-0.07,-2.42%,12.073M,13.176M,527.69M,31.33,
DMRC,Digimarc Corporation,30.42,0.56,0.0188,"98,477","106,831",515.026M,N/A,
RWWI,"Rand Worldwide, Inc.",16,0,0.00%,"3,030","1,734",510.134M,307.69,
CLSK,"CleanSpark, Inc.",14.26,0,-0.97%,"771,427",1.664M,507.532M,N/A,
BSKZF,Bambuser AB (publ),1.92,0,0.00%,"10,000","2,202",388.093M,N/A,
JFU,9F Inc.,1.89,0,-0.53%,"150,272",1.717M,384.636M,N/A,
OG,Onion Global Limited,3.1,0.05,1.64%,"35,593","92,404",276.671M,N/A,
JG,Aurora Mobile Limited,2.25,0,-4.66%,"872,328","568,042",265.304M,N/A,
CRGE,"Charge Enterprises, Inc.",$3.30,0,0.00%,"10,542","38,335",390.944M,N/A,
PFPT,"Proofpoint, Inc.",$175.90,0,0.00%,4.848M,"871,572",10.16B,N/A,
MSFT,Microsoft Corporation,301.14,-0.01,0.00%,14.752M,22.333M,2.263T,37.41,
ADBE,Adobe Inc.,666.59,2,0.29%,1.642M,1.758M,317.564B,57.77,
CRM,"salesforce.com, inc.",267.08,3,0.0111,7.358M,5.953M,261.471B,106.96,
ORCL,Oracle Corporation,90,0,0.0022,8.245M,10.7M,251.28B,19.78,
ACN,Accenture plc,343.33,2,0.0068,1.345M,1.758M,217.718B,38.37,
SHOP,Shopify Inc.,"1,554.25",11.65,0.76%,"597,356",1.256M,193.479B,79.84,
SAPGF,SAP SE,149.92,1.67,0.0113,"2,283","20,460",176.843B,25.43,
SAP,SAP SE,149.83,1,0.57%,"479,165","554,601",176.736B,25.41,
INTU,Intuit Inc.,563.25,3,0.62%,"730,323",1.08M,153.913B,74.5,
NOW,"ServiceNow, Inc.",678.63,18.32,0.0277,1.146M,1.13M,134.437B,798.39,
IBM,International Business Machines Corporation,139.58,-0.43,-0.31%,1.924M,4.053M,125.108B,23.59,
SQ,"Square, Inc.",269.74,4,0.0143,4.909M,7.765M,123.999B,243.45,
INFY,Infosys Limited,24.03,0,0.0139,3.781M,5.781M,101.929B,36.97,
TEAM,Atlassian Corporation Plc,384.59,8.59,0.0228,1.197M,1.076M,96.885B,N/A,
ADYEY,Adyen N.V.,31.74,0,-0.41%,"563,194","400,959",96.662B,222.47,
SNOW,Snowflake Inc.,310,3,1.01%,3.635M,4.233M,93.279B,N/A,
ZM,"Zoom Video Communications, Inc.",298.29,3,0.0108,6.131M,3.873M,88.63B,90.04,
FIS,"Fidelity National Information Services, Inc.",125.39,-1,-1.16%,4.772M,3.152M,77.452B,889.29,
FISV,"Fiserv, Inc.",115.66,0,-0.15%,2.4M,4.085M,76.591B,68.8,
UBER,"Uber Technologies, Inc.",40.32,-1,-2.61%,15.206M,21.197M,75.977B,N/A,
DASTY,Dassault Systèmes SE,58.04,-0.16,-0.28%,"33,577","50,139",75.863B,99.38,
COIN,"Coinbase Global, Inc.",278.44,10,3.83%,4.419M,4.193M,72.923B,20.51,
WDAY,"Workday, Inc.",277.74,6,0.0237,1.383M,1.553M,68.88B,N/A,
