Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
ALTR,Altair Engineering Inc.,75.07,-0.27,-0.36%,"95,564","213,018",5.67B,N/A,
TSYHF,TravelSky Technology Limited,1.896,0.0859,0.0475,250,"12,565",5.655B,37.92,
NATI,National Instruments Corporation,42.21,-0.18,-0.42%,"374,140","460,067",5.613B,258.96,
PWSC,"PowerSchool Holdings, Inc.",35.88,1.04,0.0299,"922,065","946,375",5.491B,N/A,
NCR,NCR Corporation,41.78,-0.96,-2.25%,"797,928",1.091M,5.49B,N/A,
OLO,Olo Inc.,37.05,0,0.00%,"885,594","544,850",5.472B,N/A,
FSLY,"Fastly, Inc.",46.69,-0.57,-1.21%,2.004M,4.815M,5.444B,N/A,
MDLA,"Medallia, Inc.",33.85,-0.02,-0.06%,6.898M,2.784M,5.429B,N/A,
CFTLF,Chinasoft International Limited,1.66,0,0.00%,"6,000","1,520",5.388B,28.62,
ALIT,"Alight, Inc.",11.79,-0.03,-0.25%,5.176M,3.358M,5.385B,N/A,
NEWR,"New Relic, Inc.",81.47,1.37,0.0171,"247,087","453,496",5.283B,N/A,
AI,"C3.ai, Inc.",50.61,2.94,0.0617,7.059M,3.248M,5.269B,N/A,
TTEC,"TTEC Holdings, Inc.",110.64,-1.63,-1.45%,"74,876","107,634",5.198B,32.06,
QTWO,"Q2 Holdings, Inc.",90.61,0.27,0.003,"269,893","384,281",5.116B,N/A,
AYX,"Alteryx, Inc.",76,0.99,0.0132,"386,504","964,739",5.113B,N/A,
SAIC,Science Applications International Corporation,87.13,1.75,0.0205,"600,188","305,196",5.016B,17.94,
VTEX,VTEX,26.23,0.64,0.025,"237,140","786,100",4.988B,N/A,
FLYW,Flywire Corporation,47.54,-0.58,-1.21%,"385,156","239,712",4.983B,N/A,
TENB,"Tenable Holdings, Inc.",46.74,0.87,0.019,"473,790",1.016M,4.982B,N/A,
CDK,"CDK Global, Inc.",41.14,0.06,0.0015,"705,000","729,040",4.971B,4.88,
XRX,Xerox Holdings Corporation,22.51,-0.71,-3.06%,2.846M,1.979M,4.018B,15.85,
SPSC,"SPS Commerce, Inc.",135.28,-0.8,-0.59%,"112,149","147,771",4.847B,110.07,
CLDR,"Cloudera, Inc.",15.95,0.02,0.0013,7.923M,5.191M,4.725B,N/A,
LPSN,"LivePerson, Inc.",67.47,1.22,0.0184,"435,427","515,750",4.707B,N/A,
QLYS,"Qualys, Inc.",119.67,0.07,0.0006,"195,973","309,314",4.661B,71.49,
KNBE,"KnowBe4, Inc.",27.4,2.31,0.0921,1.271M,"763,276",4.644B,N/A,
MIME,Mimecast Limited,70.32,0.95,0.0137,"576,155","873,543",4.623B,128.09,
CD,Chindata Group Holdings Limited,12.59,0.12,0.0096,1.246M,1.114M,4.567B,N/A,
SAIL,"SailPoint Technologies Holdings, Inc.",48.01,-0.1,-0.21%,"535,508","893,067",4.462B,N/A,
KXSCF,Kinaxis Inc.,162.8,-0.09,-0.06%,795,"1,878",4.444B,"9,576.47",
FEYE,"FireEye, Inc.",18.55,0.26,0.0142,1.757M,3.616M,4.437B,N/A,
MTTR,"Matterport, Inc.",17.96,0.61,0.0352,3.845M,1.455M,4.346B,N/A,
ENV,"Envestnet, Inc.",79,-0.32,-0.40%,"218,113","571,820",4.307B,275.26,
BIGC,"BigCommerce Holdings, Inc.",59.25,-0.33,-0.55%,"539,059",1.218M,4.284B,N/A,
APPF,"AppFolio, Inc.",123.6,1.92,0.0158,"72,726","114,796",4.278B,31.63,
EVCM,EverCommerce Inc.,21.9,-0.33,-1.48%,"260,116","644,480",4.278B,N/A,
JAMF,Jamf Holding Corp.,36.03,0.62,0.0175,"306,907","617,837",4.275B,N/A,
ALRM,"Alarm.com Holdings, Inc.",85.14,-0.15,-0.18%,"155,908","209,398",4.249B,53.75,
CRNC,Cerence Inc.,111.53,-1.18,-1.05%,"160,933","569,284",4.239B,98.35,
MSP,Datto Holding Corp.,25.92,0.15,0.0058,"160,337","252,015",4.206B,89.07,
EXLS,"ExlService Holdings, Inc.",123.26,-0.2,-0.16%,"116,884","153,732",4.127B,35.71,
PRFT,"Perficient, Inc.",121.67,3.58,0.0303,"513,692","368,500",4.007B,89.73,
BOX,"Box, Inc.",26.04,0.33,0.0128,1.276M,2.369M,3.975B,N/A,
BLND,"Blend Labs, Inc.",17.46,0.49,0.0289,"701,833",1.088M,3.965B,N/A,
PD,"PagerDuty, Inc.",47.38,3.08,0.0695,5.443M,1.228M,3.963B,N/A,
ACIW,"ACI Worldwide, Inc.",33.27,0.37,0.0112,1.151M,"540,887",3.909B,44.96,
CVLT,"Commvault Systems, Inc.",83.87,2.16,0.0264,"284,900","312,350",3.847B,N/A,
SEMR,"SEMrush Holdings, Inc.",28.24,0.21,0.0075,"170,091","308,870",3.826B,N/A,
CXM,"Sprinklr, Inc.",15.38,-0.26,-1.66%,"254,195",1.06M,3.816B,N/A,
CSOD,"Cornerstone OnDemand, Inc.",57.12,0.01,0.0002,"789,869","861,928",3.813B,N/A,
API,"Agora, Inc.",32.81,0.13,0.004,"400,109",1.232M,3.802B,N/A,
TOITF,Topicus.com Inc.,94,-1.56,-1.63%,"5,456","3,090",3.749B,N/A,
STWRY,Software Aktiengesellschaft,12.43,-0.09,-0.72%,907,648,3.731B,31.95,
PAYO,Payoneer Global Inc.,10.75,0.36,0.0346,3.069M,2.236M,3.637B,N/A,
FROG,JFrog Ltd.,37.79,0.01,0.0003,"724,954","954,423",3.624B,N/A,
YOU,"Clear Secure, Inc.",47.86,0.6,0.0127,"393,946","932,408",3.612B,163.9,
KHOTF,Kahoot! ASA,7.5,-0.05,-0.68%,"89,478","67,301",3.562B,N/A,
NSIT,"Insight Enterprises, Inc.",101.17,0.63,0.0063,"136,712","190,217",3.526B,18.86,
SABR,Sabre Corporation,10.86,-0.29,-2.60%,4.256M,6.027M,3.504B,N/A,
BLKB,"Blackbaud, Inc.",71.36,0.31,0.0044,"137,175","211,907",3.488B,N/A,
RAMP,"LiveRamp Holdings, Inc.",51.16,-0.09,-0.18%,"296,295","846,537",3.475B,N/A,
LAW,"CS Disco, Inc.",59.55,1.13,0.0193,"427,539","395,812",3.357B,N/A,
STEM,"Stem, Inc.",25.53,-0.17,-0.66%,1.465M,2.934M,3.345B,N/A,
EVTC,"EVERTEC, Inc.",46.3,0.06,0.0013,"211,047","254,995",3.332B,22.38,
RIOT,"Riot Blockchain, Inc.",34.43,-1.53,-4.25%,17.028M,10.475M,3.303B,82.37,
PAY,"Paymentus Holdings, Inc.",27.11,0.24,0.0089,"306,701","212,635",3.182B,542.2,
MANT,ManTech International Corporation,77.94,-0.43,-0.55%,"70,028","115,292",3.171B,24.3,
VNET,"21Vianet Group, Inc.",21.8,1.28,0.0624,1.431M,1.947M,3.132B,N/A,
ALMFF,Altium Limited,23.8,0,0.00%,"1,002",500,3.123B,29.24,
ACVA,ACV Auctions Inc.,20.03,-0.1,-0.50%,1.171M,"670,073",3.105B,N/A,
MNTV,Momentive Global Inc.,20.78,0.53,0.0262,"911,287","590,682",3.065B,N/A,
VERX,"Vertex, Inc.",20.49,-0.02,-0.10%,"108,218","171,239",3.032B,N/A,
RXT,"Rackspace Technology, Inc.",14.35,0.17,0.012,"931,527",1.105M,3.001B,N/A,
CALX,"Calix, Inc.",46.35,-0.06,-0.13%,"224,846","463,167",2.943B,36.24,
MKTW,"MarketWise, Inc.",9.21,-0.19,-2.02%,"682,460","547,590",2.939B,N/A,
VRNT,Verint Systems Inc.,45.07,-0.08,-0.18%,"478,487","623,212",2.93B,N/A,
ETWO,"E2open Parent Holdings, Inc.",12.36,0,0.00%,2.295M,2.41M,2.906B,N/A,
DCBO,Docebo Inc.,88.65,4.17,0.0494,"97,913","62,960",2.901B,N/A,
NWITY,Network International Holdings plc,5.25,-0.24,-4.37%,"11,759","11,564",2.888B,131.25,
EGHT,"8x8, Inc.",25.27,-0.58,-2.24%,"712,951","954,273",2.831B,N/A,
EGHSF,Enghouse Systems Limited,50.78,0.29,0.0057,120,382,2.818B,36.8,
SWI,SolarWinds Corporation,17.47,0.15,0.0087,"400,980","694,191",2.761B,21.86,
BAND,Bandwidth Inc.,106.67,-1.38,-1.28%,"173,452","276,437",2.679B,N/A,
DOMO,"Domo, Inc.",84.5,-0.07,-0.08%,"181,653","334,801",2.677B,N/A,
ALKT,"Alkami Technology, Inc.",29.95,-0.27,-0.89%,"117,627","175,775",2.611B,N/A,
DYNDF,Dye & Durham Limited,37.99,-0.01,-0.02%,250,146,2.603B,N/A,
NABL,"N-able, Inc.",14.4,0.18,0.0127,"658,179","684,885",2.574B,N/A,
SPNUF,Spirent Communications plc,4.036,0,0.00%,"2,287","1,350",2.534B,30.35,
WKME,WalkMe Ltd.,29.22,0.77,0.0271,"70,876","287,282",2.415B,N/A,
CHNVF,China Youzan Limited,0.13,0,0.00%,"6,006","14,170",2.399B,N/A,
SUMO,"Sumo Logic, Inc.",21.4,-0.02,-0.09%,"977,150",1.262M,2.311B,N/A,
VYGVF,Voyager Digital Ltd.,15.85,0.45,0.029,"493,334","666,345",2.298B,N/A,
TLS,Telos Corporation,34.42,1.43,0.0433,1.022M,"723,650",2.298B,N/A,
PING,Ping Identity Holding Corp.,27.79,1.1,0.0412,1.09M,"923,371",2.282B,N/A,
INTA,"Intapp, Inc.",38.7,0.52,0.0136,"269,943","372,668",2.275B,N/A,
RSTAY,RIB Software SE,86.52,-11.58,-11.80%,"14,137",585,2.477B,508.94,
ZUO,"Zuora, Inc.",18.4,0.44,0.0245,"789,241","962,510",2.25B,N/A,
MLNK,"MeridianLink, Inc.",27.85,0.62,0.0228,"219,668","507,462",2.248B,N/A,
DNACF,"DeNA Co., Ltd.",17.35,0,0.00%,137,67,2.169B,7.75,
PRCH,"Porch Group, Inc.",22.39,0.4,0.0182,"979,016","968,184",2.166B,N/A,
RPAY,Repay Holdings Corporation,23.73,0.16,0.0068,"329,831","564,189",2.15B,N/A,
YHEKF,Yeahka Limited,4.59,0,0.00%,317,305,2.074B,30.81,
CTSDF,Converge Technology Solutions Corp.,9.75,-0.03,-0.30%,"15,340","79,606",2.073B,278.59,
PRGS,Progress Software Corporation,46.75,0.08,0.0017,"251,133","278,885",2.046B,28.3,
