Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
ZM,"Zoom Video Communications, Inc.",272.36,-4,-1.39%,4.052M,4.134M,80.926B,82.21,
BNTX,BioNTech SE,333.48,-19.51,-5.53%,2.603M,4.189M,80.875B,18.39,
MMC,"Marsh & McLennan Companies, Inc.",159.46,0.93,0.0059,1.487M,1.877M,80.787B,32.84,
EBBNF,Enbridge Inc.,20.45,0,0.00%,67,"1,568",80.371B,8.64,
AIQUF,L'Air Liquide S.A.,170.14,0,0.00%,125,447,80.349B,26.5,
AIQUY,L'Air Liquide S.A.,33.8,0,-0.68%,"59,264","88,790",79.947B,26.32,
BNPQY,BNP Paribas SA,31.56,0.1,0.0033,"128,235","255,204",80.339B,8.7,
SNPMF,China Petroleum & Chemical Corporation,0.4768,0,0.00%,65,"10,992",79.646B,3.94,
SNP,China Petroleum & Chemical Corporation,49.32,-1.11,-2.20%,"112,859","170,161",79.646B,4.08,
ATLKY,Atlas Copco AB,65.35,-1,-1.85%,"31,705","46,253",79.579B,6.71,
DELL,Dell Technologies Inc.,103.88,1,1.16%,3.201M,2.185M,79.48B,21.53,
OJSCY,Public Joint Stock Company Rosneft Oil Company,7.52,0,0.00%,"1,934",422,79.398B,8.11,
SMMNY,Siemens Healthineers AG,34.92,0,-0.20%,"33,735","68,652",78.717B,37.71,
CCI,Crown Castle International Corp. (REIT),182.07,-2,-1.24%,1.622M,1.422M,78.69B,74.53,
KDDIY,KDDI Corporation,17.23,0,0.0044,"128,752","81,246",78.423B,13.22,
KDDIF,KDDI Corporation,34.2,0,-1.27%,"1,419","1,123",78.423B,13.12,
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.1,0,0.49%,1.421M,1.509M,78.287B,6.62,
HKXCF,Hong Kong Exchanges and Clearing Limited,61.69,0,-0.05%,605,"4,428",78.213B,47.27,
STOHF,Equinor ASA,24.01,0,0.00%,1,"57,284",77.867B,N/A,
USB-PM,U.S. Bancorp,25.8,0,0.12%,"64,360","67,072",77.86B,5.53,
DASTF,Dassault Systèmes SE,59.54,-2,-2.52%,630,914,77.766B,103.19,
EQNR,Equinor ASA,23.94,-0.13,-0.54%,2.248M,2.154M,77.627B,N/A,
SHECF,"Shin-Etsu Chemical Co., Ltd.",185.46,-6,-3.15%,413,568,77.604B,26.67,
SHECY,"Shin-Etsu Chemical Co., Ltd.",$46.28,-1,-3.08%,"35,985","52,836",77.604B,26.62,
HKXCY,Hong Kong Exchanges and Clearing Limited,60.75,-1,-2.19%,"31,688","40,868",77.574B,46.55,
TFC,Truist Financial Corporation,58,1,1.59%,5.608M,4.752M,77.42B,15.15,
TOELF,Tokyo Electron Limited,493,-10,-1.99%,86,228,77.087B,29.76,
TOELY,Tokyo Electron Limited,122.86,-3,-2.00%,"15,094","50,244",77.087B,29.66,
SHW,The Sherwin-Williams Company,291.8,-2.45,-0.83%,"746,749","962,528",76.832B,36.54,
NOVKY,PAO NOVATEK,255.05,-4.95,-1.91%,17,49,76.689B,25.16,
BNS,The Bank of Nova Scotia,61.81,0.13,0.21%,"912,046",1.099M,75.107B,10.95,
CB,Chubb Limited,176.75,-1,-0.42%,1.09M,1.703M,76.28B,9.79,
DASTY,Dassault Systèmes SE,58.21,-1,-2.06%,"65,540","51,041",76.029B,100.88,
GM,General Motors Company,52.23,0,0.60%,11.644M,16.483M,75.823B,6.07,
DUK,Duke Energy Corporation,98.46,0.06,0.06%,3.011M,2.782M,75.749B,25.74,
FIS,"Fidelity National Information Services, Inc.",122.03,0,-0.23%,2.308M,3.395M,75.377B,865.46,
ATLKF,Atlas Copco AB,$66.81,0,0.00%,283,712,75.34B,6.86,
ATLCY,Atlas Copco AB,55.57,-1.18,-2.08%,"5,963","4,300",75.34B,N/A,
EQIX,"Equinix, Inc. (REIT)",834.68,-13,-1.57%,"472,804","522,663",74.913B,219.31,
EW,Edwards Lifesciences Corporation,120.07,-1,-0.78%,1.673M,2.133M,75.388B,52.11,
DASH,"DoorDash, Inc.",220.52,4,0.0162,4.378M,2.866M,74.522B,N/A,
COF,Capital One Financial Corporation,166.17,0,0.0009,2.695M,2.938M,74.131B,6.63,
