Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
TWTR,"Twitter, Inc.",67.22,0.53,0.79%,11.036M,11.658M,53.639B,143.02,
BAYZF,Bayer Aktiengesellschaft,54,-0.38,-0.70%,325,"5,923",53.624B,N/A,
PGR,The Progressive Corporation,91.56,-0.01,-0.01%,1.69M,2.519M,53.59B,9.85,
DOCU,"DocuSign, Inc.",272.37,-1.33,-0.49%,1.176M,2.17M,53.58B,N/A,
PLDGP,"Prologis, Inc.",70,0,0.00%,15,211,53.525B,33.69,
HMC,"Honda Motor Co., Ltd.",30.95,0.15,0.0049,"443,075","592,963",53.512B,6.16,
HNDAF,"Honda Motor Co., Ltd.",30.08,0,0.00%,"2,032","5,014",53.501B,5.98,
PSA,Public Storage,303.88,-1.54,-0.50%,"650,777","706,301",53.248B,41.79,
MTHRY,"M3, Inc.",38.27,-1.57,-3.94%,"8,580","9,096",52.837B,122.07,
MET,"MetLife, Inc.",61.36,0.1,0.16%,4.351M,4.734M,52.579B,12.49,
BECEF,BCE Inc.,14.54,0.29,2.02%,"6,188",223,52.453B,5.73,
JCI,Johnson Controls International plc,73.57,-0.24,-0.33%,3.373M,3.592M,52.398B,29.52,
MRVL,"Marvell Technology, Inc.",63.61,0.17,0.27%,2.804M,5.349M,52.391B,N/A,
YAHOF,Z Holdings Corporation,6.58,0,0.00%,"1,200","7,998",52.383B,56.24,
YAHOY,Z Holdings Corporation,13.73,0.26,0.0191,"9,463","101,166",52.383B,58.68,
WIT,Wipro Limited,9.59,-0.09,-0.93%,1.275M,1.839M,52.371B,34.13,
A,"Agilent Technologies, Inc.",172.4,-0.37,-0.21%,1.042M,1.632M,52.189B,53.74,
OLCLY,"Oriental Land Co., Ltd.",31.58,0,0.00%,25,174,52.146B,N/A,
ITUB,Itaú Unibanco Holding S.A.,5.28,-0.11,-2.04%,24.037M,34.302M,51.638B,9.89,
CM,Canadian Imperial Bank of Commerce,115.25,-0.03,-0.03%,"288,184","383,939",51.872B,11.17,
SCHW-PD,The Charles Schwab Corporation,25.49,0.08,0.31%,"100,206","48,991",51.532B,10.64,
NRDBY,Nordea Bank Abp,12.74,-0.12,-0.93%,"115,488","75,504",51.462B,13.37,
SARTF,Sartorius Aktiengesellschaft,777.5,-42.5,-5.18%,29,82,51.295B,234.97,
HUM,Humana Inc.,398.91,-2.54,-0.63%,"550,803","757,466",51.262B,21.1,
FTNT,"Fortinet, Inc.",311.9,1.36,0.44%,"645,394","957,350",50.94B,100.81,
DG,Dollar General Corporation,217.71,-0.65,-0.30%,1.135M,1.446M,50.794B,20.87,
HYMTF,Hyundai Motor Company,42.39,-0.41,-0.96%,"2,901","3,466",50.751B,6.03,
SMFNF,"Sumitomo Mitsui Financial Group, Inc.",36.86,0.09,0.0024,21,"3,709",50.517B,6.95,
DMZPY,Domino's Pizza Enterprises Limited,57.03,0,0.00%,23,122,10.011B,73.78,
GWRE,"Guidewire Software, Inc.",120.68,-0.41,-0.34%,"321,466","408,987",10.035B,N/A,
SCBGF,SIG Combibloc Group AG,29.75,0.47,0.016,121,"2,592",10.043B,55.1,
STOSF,Santos Limited,4.783,0,0.00%,"11,514","1,428",10.047B,34.91,
SSLZY,Santos Limited,4.81,0.1,2.12%,"1,631","6,330",10.047B,35.11,
FMCCT,Federal Home Loan Mortgage Corporation,3.12,0,0.00%,33,"13,460",10.05B,11.69,
NWL,Newell Brands Inc.,23.67,-0.44,-1.82%,2.348M,2.283M,10.069B,14.11,
HLPPF,Hang Lung Properties Limited,2.24,-0.09,-3.86%,"1,762","2,911",10.078B,35.56,
ROHCY,"ROHM Co., Ltd.",50.5,-0.58,-1.14%,219,939,10.079B,27.45,
LNEGY,Lundin Energy AB (publ),35.5,0,0.00%,12,401,10.094B,13.5,
TPL,Texas Pacific Land Corporation,"1,301.52",-5.52,-0.42%,"22,122","31,980",10.09B,50.94,
ISUZF,Isuzu Motors Limited,13.42,0,0.00%,"2,500",76,10.1B,11.21,
ISUZY,Isuzu Motors Limited,13.52,0.1,0.0075,"6,562","21,826",10.1B,11.29,
TAP,Molson Coors Beverage Company,46.51,0.15,0.0032,1.073M,1.586M,10.114B,N/A,
TAP-A,Molson Coors Beverage Company,55.8,0,0.00%,8,50,10.114B,N/A,
CUBE,CubeSmart,50.15,-0.65,-1.28%,1.321M,1.003M,10.119B,55.11,
FOSUY,Fosun International Limited,30.05,0,0.00%,19,38,10.124B,6.53,
MRO,Marathon Oil Corporation,12.85,0.12,0.0094,16.952M,16.148M,10.131B,N/A,
JAPSY,"Japan Airlines Co., Ltd.",11.54,0.12,0.0102,"13,160","43,974",10.156B,N/A,
BURBY,Burberry Group plc,24.97,-0.45,-1.79%,"34,826","32,476",10.168B,19.63,
MANH,"Manhattan Associates, Inc.",160.56,0.42,0.26%,"188,139","318,323",10.179B,104.26,
ARKAY,Arkema S.A.,136.58,0.95,0.007,"5,186","4,163",10.183B,8.49,
YAMHF,"Yamaha Motor Co., Ltd.",28.46,-0.09,-0.30%,"3,227","5,077",10.184B,7.39,
TYCMY,Tingyi (Cayman Islands) Holding Corp.,35.83,0.11,0.0031,"2,354","3,449",10.19B,17.56,
PEN,"Penumbra, Inc.",278.73,-3.86,-1.37%,"82,689","165,411",10.196B,648.21,
AOS,A. O. Smith Corporation,64.06,-0.36,-0.56%,1.039M,"825,673",10.197B,23.64,
RE,"Everest Re Group, Ltd.",255.74,0.52,0.002,"153,249","263,892",10.197B,7.72,
CEA,China Eastern Airlines Corporation Limited,18.84,-0.24,-1.26%,"1,916","12,917",10.203B,N/A,
LEVI,Levi Strauss & Co.,25.4,-0.02,-0.08%,1.792M,1.856M,10.205B,35.57,
XLRN,Acceleron Pharma Inc.,167.65,7.81,0.0489,1.231M,"292,098",10.21B,N/A,
MDIBY,Mediobanca Banca di Credito Finanziario S.p.A.,11.8,-0.07,-0.59%,"10,521","14,647",10.225B,11.04,
MMP,"Magellan Midstream Partners, L.P.",46.2,-0.62,-1.32%,1.066M,1.142M,10.236B,11.53,
CLF,Cleveland-Cliffs Inc.,20.5,-0.34,-1.63%,18.224M,23.829M,10.245B,11.75,
SCI,Service Corporation International,61.22,-0.62,-1.00%,1.357M,"888,041",10.259B,14.91,
RPM,RPM International Inc.,79.22,-0.25,-0.31%,"385,235","504,331",10.281B,20.48,
TMSNY,Temenos AG,141.39,-1.97,-1.37%,"4,722","8,555",10.298B,52.25,
ELMUF,Elisa Oyj,64.28,0,0.00%,665,17,10.588B,26.45,
HGH,"The Hartford Financial Services Group, Inc. DEB FIX/FLT 42",26.47,-0.02,-0.08%,"56,294","72,314",9.604B,N/A,
TRMLF,Tourmaline Oil Corp.,34.59,0.59,1.74%,"14,500","44,531",10.339B,9.64,
ASEKY,Aisin Corporation,37.93,0,0.00%,349,731,10.343B,5.6,
FOSUF,Fosun International Limited,1.24,0.01,0.0081,"1,347","1,290",10.354B,6.74,
BHC,Bausch Health Companies Inc.,28.86,-0.61,-2.07%,1.946M,2.305M,10.355B,N/A,
TMNSF,Temenos AG,142.6,0,0,534,44,10.386B,52.7,
OZON,Ozon Holdings PLC,50.7,-0.96,-1.86%,"678,174","606,925",10.396B,N/A,
NCLH,Norwegian Cruise Line Holdings Ltd.,28.1,0.81,0.0297,21.474M,14.82M,10.398B,N/A,
HKTTF,HKT Trust and HKT Limited,1.33,0,0.00%,92,765,10.43B,14.78,
UEPEP,Union Electric Company,102.5,-0.03,-0.03%,53,65,10.468B,23.15,
RNSDF,Renault SA,33.63,0,0.00%,25,87,10.468B,N/A,
RNLSY,Renault SA,7.16,0.16,0.0236,"25,561","36,569",10.468B,N/A,
TTC,The Toro Company,98.4,-1.38,-1.38%,"564,982","369,755",10.474B,25.43,
JIAXF,Jiangxi Copper Company Limited,1.875,0,0.00%,30,"1,355",10.501B,9.1,
SMMYY,"Sumitomo Metal Mining Co., Ltd.",9.54,0.1,1.06%,333,"5,069",10.502B,8.44,
CMA,Comerica Incorporated,78.44,1.27,0.0165,1.27M,1.349M,10.505B,10.28,
BEP,Brookfield Renewable Partners L.P.,38.21,-0.51,-1.32%,"372,128","237,441",10.506B,N/A,
SAPIF,Saputo Inc.,25.41,-0.7,-2.69%,"1,167","3,000",10.51B,24.79,
BWA,BorgWarner Inc.,43.83,0.07,0.16%,1.918M,1.701M,10.51B,12.93,
LAD,"Lithia Motors, Inc.",345.2,4.27,1.25%,"359,963","320,171",10.512B,11.22,
NRG,"NRG Energy, Inc.",42.96,0.24,0.0056,1.133M,2.26M,10.516B,9.82,
VARGF,Varta AG,137,0,0.00%,12,13,10.521B,46.68,
CHGG,"Chegg, Inc.",72.85,-0.9,-1.22%,1.034M,1.153M,10.54B,N/A,
ZLIOF,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",0.987,0,0.00%,723,193,10.546B,6.21,
ZLIOY,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",10.13,0,0.00%,100,311,10.546B,6.37,
FLUIF,"Fluidra, S.A.",42,0,0.00%,125,307,10.55B,31.94,
FRT-PC,Federal Realty Investment Trust,26.03,-0.34,-1.29%,"14,470","18,246",10.573B,13.19,
TRYIF,"Toray Industries, Inc.",6.54,0,0.00%,"1,400",812,10.58B,17.63,
TRYIY,"Toray Industries, Inc.",13.06,-0.13,-0.99%,"19,170","34,487",10.58B,17.6,
SSL,Sasol Limited,16.52,-0.43,-2.54%,"249,337","481,150",10.6B,16.96,
SASOF,Sasol Limited,16.8,0,0.00%,100,76,10.6B,17.25,
THQQF,Embracer Group AB (publ),21.25,0,0.00%,64,919,10.605B,N/A,
PLTK,Playtika Holding Corp.,25.94,-0.22,-0.84%,"313,753",1.068M,10.626B,32.3,
VER,"VEREIT, Inc.",46.54,-0.92,-1.94%,1.317M,1.587M,10.665B,46.45,
UNBLF,Unibail-Rodamco-Westfield SE,75.78,0,0.00%,100,68,10.669B,N/A,
EWBC,"East West Bancorp, Inc.",75.2,1.29,1.75%,"784,289","705,504",10.669B,14.23,
CASBF,CanSino Biologics Inc.,35.75,0.03,0.0008,"5,000","5,557",10.671B,87.41,
WB,Weibo Corporation,46.91,-1.83,-3.75%,1.195M,1.441M,10.688B,55.12,
SNX,TD SYNNEX,111.42,-0.99,-0.88%,"188,386","210,982",10.695B,10.95,
BAH,Booz Allen Hamilton Holding Corporation,79.14,0.71,0.0091,"544,978","716,466",10.699B,19.21,
CSL,Carlisle Companies Incorporated,205.46,0.55,0.27%,"209,770","293,880",10.71B,33.12,
UNLRY,PT Unilever Indonesia Tbk,5.62,0.02,0.39%,192,"1,417",10.724B,N/A,
TLTZY,Tele2 AB (publ),7.51,-0.05,-0.66%,551,"2,071",10.726B,N/A,
TLTZF,Tele2 AB (publ),15.16,0,0.00%,"1,473",333,10.726B,N/A,
SKBSY,Skanska AB (publ),25.84,-0.36,-1.37%,"1,271","2,749",10.741B,27.94,
SKSBF,Skanska AB (publ),26.4,0,0.00%,"4,060",585,10.741B,N/A,
WAL,Western Alliance Bancorporation,103.07,1.12,1.10%,"472,557","588,328",10.742B,14,
SGGEF,The Sage Group plc,9.68,-0.17,-1.73%,873,"1,168",10.743B,33.73,
MSLOY,"Mitsui O.S.K. Lines, Ltd.",44.56,1.93,0.0452,105,165,10.75B,6.25,
WSO-B,"Watsco, Inc.",277.4,2.25,0.82%,"2,054",39,10.751B,30.41,
WSO,"Watsco, Inc.",277.57,-1,-0.36%,"81,443","142,507",10.751B,30.43,
DECK,Deckers Outdoor Corporation,388.75,-38.25,-8.96%,1.069M,"348,938",11.065B,25.2,
RDY,Dr. Reddy's Laboratories Limited,64.87,-0.18,-0.28%,"51,217","113,833",10.766B,46.44,
CX,"CEMEX, S.A.B. de C.V.",7.32,-0.18,-2.40%,5.379M,6.814M,10.782B,N/A,
UEPEO,Union Electric Company,105.75,0,0.00%,288,50,10.8B,23.89,
PEGA,Pegasystems Inc.,132.73,-2.22,-1.65%,"142,174","202,306",10.812B,698.58,
CHEOF,Cochlear Limited,160,-11,-6.43%,603,74,10.829B,44.15,
CHEOY,Cochlear Limited,81.34,-4.74,-5.51%,917,553,10.829B,44.89,
FIVE,"Five Below, Inc.",193.39,2.35,0.0123,"557,474","640,509",10.834B,42.05,
NHMAF,Nihon M&A Center Inc.,32.36,-0.59,-1.79%,287,"15,577",10.835B,99.57,
TRGP,Targa Resources Corp.,47.42,-0.02,-0.04%,"832,710",1.368M,10.843B,56.52,
CVAC,CureVac N.V.,58.04,0.19,0.0033,"342,378","728,361",10.844B,N/A,
SINGY,Singapore Airlines Limited,7.31,-0.1,-1.35%,"11,645","40,966",10.846B,N/A,
GLBE,Global-e Online Ltd.,74.64,0.79,0.0107,1.406M,1.146M,10.871B,N/A,
SMTOY,"Sumitomo Electric Industries, Ltd.",13.62,-0.27,-1.94%,179,284,10.875B,9.71,
IPXHY,Inpex Corporation,7.3,-0.09,-1.22%,"1,520","20,539",10.875B,19.31,
DETNF,Aker BP ASA,30,3.03,0.1123,648,42,10.896B,21.99,
MNBEY,MinebeaMitsumi Inc.,53.56,0,0.00%,317,485,10.898B,24.8,
HSIC,"Henry Schein, Inc.",78.1,0.5,0.0064,"447,111","695,558",10.91B,18.48,
SGPYY,The Sage Group plc,41.73,-0.17,-0.41%,"13,356","11,663",10.914B,36.35,
FRFHF,Fairfax Financial Holdings Limited,413.69,-3.29,-0.79%,"5,506","10,133",10.941B,3.87,
KGDEY,Kingdee International Software Group Company Limited,312.5,-2.49,-0.79%,5,130,10.941B,N/A,
DNTUY,Dentsu Group Inc.,38.92,0,0.00%,94,"1,253",10.945B,N/A,
RDEIY,"Red Eléctrica Corporación, S.A.",10.12,-0.21,-2.03%,"107,976","51,320",10.945B,14.49,
HNGKY,Hongkong Land Holdings Limited,23.47,0.36,0.0156,485,371,10.946B,N/A,
NTLA,"Intellia Therapeutics, Inc.",149.14,-6.12,-3.94%,"687,886",2.052M,10.96B,N/A,
UWMC,UWM Holdings Corporation,6.83,-0.09,-1.30%,1.309M,2.818M,10.963B,0.24,
GDS,GDS Holdings Limited,57.12,-2.56,-4.29%,"575,910",2.08M,10.966B,N/A,
DSCSY,Disco Corporation,60.11,-1.04,-1.70%,"1,231","3,879",10.966B,27.87,
SINGF,Singapore Airlines Limited,3.7,0,0.00%,10,"4,865",10.98B,N/A,
AGL,"agilon health, inc.",28.1,-0.36,-1.26%,"883,662","578,901",10.984B,N/A,
XJNGF,"Xinjiang Goldwind Science & Technology Co., Ltd.",2.1001,-0.0739,-3.40%,"1,304","7,092",11.027B,17.07,
TPR,"Tapestry, Inc.",39.46,-0.89,-2.21%,2.62M,3.333M,11.032B,13.38,
BKI,"Black Knight, Inc.",70.58,-0.25,-0.35%,"518,843","646,711",11.055B,41.06,
PTCAY,PT. Chandra Asri Petrochemical Tbk,12.78,0,0.00%,"1,600",138,11.056B,36.51,
NTRA,"Natera, Inc.",118.12,-5.42,-4.39%,"774,799","812,528",11.078B,N/A,
GLPI,"Gaming and Leisure Properties, Inc.",47.3,-0.5,-1.05%,"579,817","878,480",11.082B,19.25,
KIROY,Kumba Iron Ore Limited,11.48,0,0.00%,"1,792","4,592",11.135B,4.35,
SKFRY,AB SKF (publ),24.47,-0.15,-0.61%,"11,731","18,638",11.142B,N/A,
SVCBF,Svenska Cellulosa Aktiebolaget SCA (publ),16.35,0,0.00%,400,285,11.161B,30.06,
BG,Bunge Limited,78.77,0.08,0.001,"827,417",1.076M,11.163B,5.85,
MHSDF,"Megacable Holdings, S. A. B. de C. V.",3.25,0,0.00%,"302,341","7,239",11.183B,12.9,
UNLRF,PT Unilever Indonesia Tbk,0.2933,0,0.00%,"14,235","10,736",11.189B,3.53,
AFG,"American Financial Group, Inc.",132.4,-0.8,-0.60%,"254,414","355,177",11.221B,5.07,
BLDR,"Builders FirstSource, Inc.",54.16,-0.1,-0.18%,1.314M,2.357M,11.222B,9.89,
CABO,"Cable One, Inc.","1,859.53",-46.17,-2.42%,"42,173","34,363",11.228B,32.92,
QS,QuantumScape Corporation,27,-0.05,-0.18%,28.842M,9.655M,11.237B,N/A,
WLK,Westlake Chemical Corporation,87.81,-0.01,-0.01%,"585,529","624,787",11.253B,12.13,
CXMSF,"CEMEX, S.A.B. de C.V.",0.75,0,0.00%,6M,1.121M,11.256B,N/A,
NDEKY,Nitto Denko Corporation,37.64,-0.62,-1.62%,"6,677","14,587",11.263B,15.61,
OSH,"Oak Street Health, Inc.",46.93,-1.84,-3.77%,1.538M,1.498M,11.304B,N/A,
CNA,CNA Financial Corporation,41.69,-0.08,-0.19%,"122,055","186,333",11.313B,8.89,
KL,Kirkland Lake Gold Ltd.,42.57,0.33,0.0078,1.164M,1.542M,11.317B,13.75,
NI-PB,NiSource Inc.,27.54,0.15,0.0055,"23,198","37,281",11.341B,51.19,
CHYHY,Chr. Hansen Holding A/S,21.52,-0.56,-2.54%,"17,768","18,438",11.368B,11.42,
GJNSY,Gjensidige Forsikring ASA,22.75,0,0.00%,174,465,11.374B,14.87,
CNPAY,CNP Assurances SA,8.29,0.49,0.0635,360,193,11.376B,7.1,
IFJPY,Informa plc,15.2,-0.16,-1.04%,"10,101","38,836",11.424B,N/A,
LII,Lennox International Inc.,308.63,0.02,0.0001,"121,675","286,882",11.471B,23.72,
YAMCY,Yamaha Corporation,66.02,-1.16,-1.73%,"8,122","3,025",11.484B,30.71,
BXBLY,Brambles Limited,15.74,-0.44,-2.72%,"56,123","33,611",11.504B,22.17,
IVZ,Invesco Ltd.,24.94,0.09,0.0036,2.526M,4.218M,11.507B,11.14,
DQJCY,Pan Pacific International Holdings Corporation,17.98,-0.26,-1.43%,"35,678","95,660",11.515B,23.5,
ATO,Atmos Energy Corporation,88.22,0.09,0.001,"530,635","646,052",11.538B,16.55,
SOUHY,South32 Limited,12.29,-0.3,-2.38%,"47,478","61,304",11.545B,N/A,
SHTLF,South32 Limited,2.46,0,0.00%,200,"1,114",11.545B,N/A,
RHI,Robert Half International Inc.,103.16,0.56,0.0055,"377,874","692,355",11.551B,27.03,
RTLLF,RATIONAL Aktiengesellschaft,"1,020.00",-20,-1.92%,1,23,11.558B,78.17,
SNA,Snap-on Incorporated,214.59,-0.78,-0.36%,"246,492","357,717",11.582B,14.94,
WTRG,"Essential Utilities, Inc.",47.17,0.07,0.0015,"532,429","875,004",11.592B,28.42,
MONOY,"MonotaRO Co., Ltd.",23.08,0.17,0.0074,"39,694","20,755",11.594B,81.55,
ZLAB,Zai Lab Limited,119.86,-1.01,-0.84%,"490,565","548,044",11.598B,N/A,
MCRPF,MicroPort Scientific Corporation,6.2,0,0.00%,"1,048","2,384",11.598B,N/A,
REG,Regency Centers Corporation,68.3,0.02,0.0003,"577,660","796,680",11.602B,51.05,
FWONK,Formula One Group,50.58,-0.4,-0.78%,"595,520","720,231",11.605B,N/A,
FWONA,Formula One Group,46.58,-0.61,-1.29%,"75,843","142,296",11.605B,N/A,
MTRAF,Metro Inc.,47.61,0.52,0.011,483,"2,228",11.621B,18.39,
CRTSF,Chr. Hansen Holding A/S,88.35,0,0.00%,"1,266",114,11.629B,11.72,
BABWF,"International Consolidated Airlines Group, S.A.",2.34,-0.05,-2.09%,"11,000","16,744",11.633B,N/A,
DKS,"DICK'S Sporting Goods, Inc.",131.37,-3.85,-2.85%,2.63M,2.108M,11.638B,10.78,
IKTSY,Intertek Group plc,69.02,-4.18,-5.71%,"2,114","12,953",11.655B,30.54,
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.39,0.01,0.0014,"957,696","786,834",11.656B,7.09,
CHRW,"C.H. Robinson Worldwide, Inc.",88.51,0.05,0.0006,"847,453",1.07M,11.658B,18.49,
COCSF,"Coca-Cola FEMSA, S.A.B. de C.V.",5.55,0,0.00%,181,"1,211",11.66B,1.93,
FIVN,"Five9, Inc.",172.25,1.43,0.0084,1.91M,1.863M,11.661B,N/A,
BZLFY,Bunzl plc,34.04,-0.87,-2.48%,"7,024","21,730",11.666B,18.27,
WIX,Wix.com Ltd.,206.89,-1.22,-0.59%,"372,751","702,046",11.67B,N/A,
SIELY,Shanghai Electric Group Company Limited,5.57,0,0.00%,50,634,11.707B,N/A,
ASXFF,ASX Limited,60.15,-3.78,-5.91%,191,107,11.754B,33.18,
ASXFY,ASX Limited,61.22,-0.45,-0.73%,"10,374","2,614",11.754B,33.77,
EMRAF,Emera Incorporated,45.78,-0.55,-1.19%,920,"2,877",11.756B,23.86,
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.5,0.03,0.004,"5,912","8,157",11.767B,7.19,
SNMCY,Suncorp Group Limited,9.18,0.15,0.016,777,"2,973",11.778B,16.33,
CF,"CF Industries Holdings, Inc.",54.84,1.35,0.0252,5.578M,2.221M,11.796B,26.06,
AXON,"Axon Enterprise, Inc.",179.75,3.02,0.0171,"233,332","324,500",11.805B,N/A,
ALNPY,ANA Holdings Inc.,4.89,0,0.00%,44,"4,955",11.819B,N/A,
GUNGF,"GungHo Online Entertainment, Inc.",18.8,0,0.00%,200,1,11.829B,6.56,
GNGBF,Getinge AB,43.4,0,0.00%,227,50,11.838B,N/A,
ICAGY,"International Consolidated Airlines Group, S.A.",4.775,0.085,0.0181,"209,730","341,342",11.844B,N/A,
RMYHY,Ramsay Health Care Limited,12.94,0,0.00%,54,192,11.847B,36.84,
SRTTY,"ZOZO, Inc.",7.94,0.24,0.0315,"1,199","2,882",11.864B,41.4,
SATLF,"ZOZO, Inc.",39.97,0,0.00%,4,35,11.864B,41.68,
PENN,"Penn National Gaming, Inc.",75.72,0.12,0.0016,1.933M,4.475M,11.872B,26.93,
DAR,Darling Ingredients Inc.,73.3,-0.25,-0.34%,1.233M,1.45M,11.88B,24.76,
LAMR,Lamar Advertising Company (REIT),117.42,-0.78,-0.66%,"423,597","383,634",11.881B,36.03,
FICO,Fair Isaac Corporation,419.31,-4.04,-0.95%,"175,746","235,052",11.903B,33.96,
STJPF,St. James's Place plc,22.05,0,0.00%,122,284,11.906B,42.49,
TS,Tenaris S.A.,20.16,-0.04,-0.20%,"850,489",1.859M,11.933B,25.14,
BKHYY,Bank Hapoalim B.M.,44.75,0,0.00%,52,"1,773",11.953B,14.03,
EVRZF,EVRAZ plc,8.2,0,0.00%,1,771,11.961B,7.81,
TME,Tencent Music Entertainment Group,7.08,-0.36,-4.84%,18.096M,18.305M,11.983B,18.93,
MORN,"Morningstar, Inc.",278.65,1.12,0.004,"67,621","84,185",12.001B,50.32,
IKTSF,Intertek Group plc,74.36,0,0.00%,"4,535",109,12.001B,32.9,
PSMMY,Persimmon Plc,75.25,-1.36,-1.77%,"6,163","12,211",12.006B,11.09,
CBUMY,China National Building Material Company Limited,69.6,-5.27,-7.04%,415,"4,795",12.008B,251.25,
UHS,"Universal Health Services, Inc.",144.76,0.34,0.0024,"789,994","620,811",12.034B,11.46,
GDDY,GoDaddy Inc.,71.12,-0.49,-0.68%,"629,888",1.123M,12.034B,63.16,
ICHGF,InterContinental Hotels Group PLC,64,0,0.00%,"3,000",976,12.038B,N/A,
ASGLY,AGC Inc.,10.88,0.29,0.0274,"3,141","2,601",12.04B,15.72,
ONON,On Holding AG,36.02,-1.32,-3.54%,1.181M,3.974M,12.05B,"1,200.67",
KNNGF,KION GROUP AG,94.24,0,0.00%,3,198,12.084B,22.34,
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",57.59,0.01,0.0002,"66,221","118,431",12.099B,20.02,
IHG,InterContinental Hotels Group PLC,66.06,0.48,0.0073,"102,673","129,434",12.103B,N/A,
HST,"Host Hotels & Resorts, Inc.",16.96,0.04,0.0024,6.807M,7.689M,12.109B,N/A,
FMC,FMC Corporation,94.14,-0.35,-0.37%,"948,082",1.059M,12.116B,22.43,
EQH,"Equitable Holdings, Inc.",29.44,0.18,0.0062,1.445M,2.939M,12.139B,N/A,
TBVPF,Thai Beverage Public Company Limited,0.4685,-0.0236,-4.80%,"10,364","39,177",12.15B,16.73,
XYIGF,Xinyi Glass Holdings Limited,2.96,-0.38,-11.38%,933,"2,376",12.154B,9,
OPHLY,"Ono Pharmaceutical Co., Ltd.",8.01,-0.05,-0.62%,"9,010","40,657",12.154B,17.05,
GNGBY,Getinge AB,44.68,0,0.00%,162,"1,444",12.169B,N/A,
NTCO,Natura &Co Holding S.A.,17.45,-0.67,-3.70%,"611,633","418,352",12.188B,98.03,
STLD,"Steel Dynamics, Inc.",59.84,0.67,0.0113,1.818M,2.097M,12.214B,8.93,
OPHLF,"Ono Pharmaceutical Co., Ltd.",23.9,0,0.00%,60,49,12.215B,16.94,
SITIY,SITC International Holdings Company Limited,45.73,1.65,0.0373,303,130,12.265B,17.06,
OPEN,Opendoor Technologies Inc.,20.35,0.36,0.018,9.228M,11.238M,12.304B,N/A,
FFIV,"F5 Networks, Inc.",204.15,1.38,0.0068,"141,887","430,236",12.313B,42.53,
IS,ironSource Ltd.,12.16,0.21,0.0176,1.46M,1.61M,12.318B,193.02,
ALLE,Allegion plc,137.34,-1.28,-0.92%,"409,126","714,685",12.319B,27.01,
PHM,"PulteGroup, Inc.",47.49,0.13,0.0027,2.244M,2.433M,12.325B,7.68,
AEM,Agnico Eagle Mines Limited,50.51,-0.65,-1.27%,1.808M,1.365M,12.334B,16.43,
MPW,"Medical Properties Trust, Inc.",20.72,-0.26,-1.24%,3.251M,4.488M,12.348B,22.35,
STNE,StoneCo Ltd.,40.01,-0.15,-0.37%,5.311M,3.248M,12.36B,52.44,
CCHGY,Coca-Cola HBC AG,33.71,-0.72,-2.09%,"2,281","5,185",12.373B,19.98,
QGEN,QIAGEN N.V.,54.13,-0.7,-1.28%,"922,264","758,688",12.376B,26.44,
TREX,"Trex Company, Inc.",107.3,-0.27,-0.25%,"330,520","584,066",12.377B,63.49,
MONDY,Mondi plc,51.08,-1.16,-2.23%,"8,504","17,833",12.429B,18.18,
MONDF,Mondi plc,24.48,0,0.00%,65,274,12.429B,17.42,
MTUAY,MTU Aero Engines AG,117.01,-0.57,-0.48%,"3,920","3,352",12.459B,90.67,
GFL,GFL Environmental Inc.,37.81,0.43,0.0115,"832,509",1.013M,12.462B,N/A,
FQVLF,First Quantum Minerals Ltd.,18.04,-0.02,-0.13%,"48,251","44,280",12.465B,38.8,
GGG,Graco Inc.,73.49,-0.47,-0.64%,"880,073","585,809",12.474B,28.62,
PCOR,"Procore Technologies, Inc.",95.22,0.54,0.0057,"223,000","291,461",12.486B,N/A,
LPLA,LPL Financial Holdings Inc.,155.64,2.34,0.0153,"886,086","445,834",12.489B,27.2,
RANJY,Randstad N.V.,33.68,-1.55,-4.40%,"2,438","4,169",12.495B,16.69,
IAC,IAC/InterActiveCorp,140.37,6.66,0.0498,"974,579","520,460",12.526B,11.06,
HGKGY,Power Assets Holdings Limited,5.75,-0.2,-3.36%,"3,907","4,800",12.527B,14.97,
ARRPY,Aeroports de Paris SA,12,0,0.00%,7,124,12.556B,N/A,
AEOXF,Aeroports de Paris SA,124.5,0,0.00%,480,86,12.556B,N/A,
DBX,"Dropbox, Inc.",31.54,0.27,0.0086,2.011M,3.749M,12.568B,N/A,
PSMMF,Persimmon Plc,39.39,0.9,0.0233,155,"1,387",12.569B,11.61,
QBIEY,QBE Insurance Group Limited,8.49,0.05,0.0059,"10,549","90,965",12.594B,N/A,
CVVTF,Covestro AG,64.25,0,0.00%,98,656,12.597B,7.81,
EUXTF,Euronext N.V.,117.2,0,0.00%,54,500,12.597B,24.05,
GRBMF,"Grupo Bimbo, S.A.B. de C.V.",2.7912,-0.089,-3.09%,"52,920","16,507",12.612B,18.48,
YRAIF,Yara International ASA,44.99,0,0.00%,100,174,12.62B,10.4,
ARES,Ares Management Corporation,77.28,-0.39,-0.50%,"569,802","679,955",12.632B,44.75,
